game_id,winner,how,date,home_team,away_team,state,matchup,game
2024030163,DAL,overtime,2025-04-23,COL,DAL,Final,COL @ DAL,3.0
2024030164,COL,regulation,2025-04-26,COL,DAL,Final,COL @ DAL,4.0
2024030165,DAL,regulation,2025-04-28,DAL,COL,Final,COL @ DAL,5.0
2024030166,COL,regulation,2025-05-01,COL,DAL,Final,COL @ DAL,6.0
2024030167,DAL,regulation,2025-05-03,DAL,COL,Final,COL @ DAL,7.0
2024030171,VGK,regulation,2025-04-20,VGK,MIN,Final,MIN @ VGK,1.0
2024030172,MIN,regulation,2025-04-22,VGK,MIN,Final,MIN @ VGK,2.0
2024030173,MIN,regulation,2025-04-24,MIN,VGK,Final,MIN @ VGK,3.0
2024030174,VGK,overtime,2025-04-26,MIN,VGK,Final,MIN @ VGK,4.0
2024030175,VGK,overtime,2025-04-29,VGK,MIN,Final,MIN @ VGK,5.0
2024030176,VGK,regulation,2025-05-01,MIN,VGK,Final,MIN @ VGK,6.0
2024030181,L.A,regulation,2025-04-21,L.A,EDM,Final,EDM @ LAK,1.0
2024030182,L.A,regulation,2025-04-23,L.A,EDM,Final,EDM @ LAK,2.0
2024030183,EDM,regulation,2025-04-25,EDM,L.A,Final,EDM @ LAK,3.0
2024030184,EDM,overtime,2025-04-27,EDM,L.A,Final,EDM @ LAK,4.0
2024030185,EDM,regulation,2025-04-29,L.A,EDM,Final,EDM @ LAK,5.0
2024030186,EDM,regulation,2025-05-01,EDM,L.A,Final,EDM @ LAK,6.0
2024030211,TOR,regulation,2025-05-05,TOR,FLA,Final,FLA @ TOR,1.0
2024030212,TOR,regulation,2025-05-07,TOR,FLA,Final,FLA @ TOR,2.0
2024030213,FLA,overtime,2025-05-09,FLA,TOR,Final,FLA @ TOR,3.0
2024030214,FLA,regulation,2025-05-11,FLA,TOR,Final,FLA @ TOR,4.0
2024030215,FLA,regulation,2025-05-14,TOR,FLA,Final,FLA @ TOR,5.0
2024030216,TOR,regulation,2025-05-16,FLA,TOR,Final,FLA @ TOR,6.0
2024030217,FLA,regulation,2025-05-18,TOR,FLA,Final,FLA @ TOR,7.0
2024030221,CAR,overtime,2025-05-06,WSH,CAR,Final,CAR @ WSH,1.0
2024030222,WSH,regulation,2025-05-08,WSH,CAR,Final,CAR @ WSH,2.0
2024030223,CAR,regulation,2025-05-10,CAR,WSH,Final,CAR @ WSH,3.0
2024030224,CAR,regulation,2025-05-12,CAR,WSH,Final,CAR @ WSH,4.0
2024030225,CAR,regulation,2025-05-15,WSH,CAR,Final,CAR @ WSH,5.0
2024030231,DAL,regulation,2025-05-07,WPG,DAL,Final,DAL @ WPG,1.0
2024030232,WPG,regulation,2025-05-09,WPG,DAL,Final,DAL @ WPG,2.0
2024030233,DAL,regulation,2025-05-11,DAL,WPG,Final,DAL @ WPG,3.0
2024030234,DAL,regulation,2025-05-13,DAL,WPG,Final,DAL @ WPG,4.0
2024030235,WPG,regulation,2025-05-15,WPG,DAL,Final,DAL @ WPG,5.0
2024030236,DAL,overtime,2025-05-17,DAL,WPG,Final,DAL @ WPG,6.0
2024030241,EDM,regulation,2025-05-06,VGK,EDM,Final,EDM @ VGK,1.0
2024030242,EDM,overtime,2025-05-08,VGK,EDM,Final,EDM @ VGK,2.0
2024030243,VGK,regulation,2025-05-10,EDM,VGK,Final,EDM @ VGK,3.0
2024030244,EDM,regulation,2025-05-12,EDM,VGK,Final,EDM @ VGK,4.0
2024030245,EDM,overtime,2025-05-14,VGK,EDM,Final,EDM @ VGK,5.0
2024030311,FLA,regulation,2025-05-20,CAR,FLA,Final,CAR @ FLA,1.0
2024030312,FLA,regulation,2025-05-22,CAR,FLA,Final,CAR @ FLA,2.0
2024030313,FLA,regulation,2025-05-24,FLA,CAR,Final,CAR @ FLA,3.0
2024030314,CAR,regulation,2025-05-26,FLA,CAR,Final,CAR @ FLA,4.0
2024030315,FLA,regulation,2025-05-28,CAR,FLA,Final,CAR @ FLA,5.0
2024030321,DAL,regulation,2025-05-21,DAL,EDM,Final,DAL @ EDM,1.0
2024030322,EDM,regulation,2025-05-23,DAL,EDM,Final,DAL @ EDM,2.0
2024030323,EDM,regulation,2025-05-25,EDM,DAL,Final,DAL @ EDM,3.0
2024030324,EDM,regulation,2025-05-27,EDM,DAL,Final,DAL @ EDM,4.0
2024030325,EDM,regulation,2025-05-29,DAL,EDM,Final,DAL @ EDM,5.0
2024030411,EDM,overtime,2025-06-04,EDM,FLA,Final,EDM @ FLA,1.0
2024030412,FLA,overtime,2025-06-06,EDM,FLA,Final,EDM @ FLA,2.0
2024030413,FLA,regulation,2025-06-09,FLA,EDM,Final,EDM @ FLA,3.0
2024030414,EDM,overtime,2025-06-12,FLA,EDM,Final,EDM @ FLA,4.0
2024030415,FLA,regulation,2025-06-14,EDM,FLA,Final,EDM @ FLA,5.0
2024030416,FLA,regulation,2025-06-17,FLA,EDM,Final,EDM @ FLA,6.0
