Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Marc-Andre Fleury,PIT,16-17,38,106.92,106,0.92,2.14,1180,90.94,91.02,0.08,2108.65,1547,93.09,93.15,0.06,10.84
Marc-Andre Fleury,VGK,17-18,46,118.66,100,20.66,5.92,1375,91.37,92.73,1.36,2652.95,1908,93.78,94.76,0.98,31.84
Marc-Andre Fleury,VGK,18-19,61,158.76,152,10.76,4.7,1745,90.9,91.29,0.39,3572.7,2375,93.32,93.6,0.28,25.55
Marc-Andre Fleury,VGK,19-20,49,119.73,133,-10.27,0.14,1398,91.44,90.49,-0.95,2854.17,1897,93.69,92.99,-0.7,0.76
Marc-Andre Fleury,VGK,20-21,36,92.07,71,21.07,5.63,989,90.69,92.82,2.13,2121.92,1344,93.15,94.72,1.57,29.76
Marcus Hogberg,OTT,18-19,4,11.2,14,-2.8,-0.31,121,90.75,88.43,-2.32,205.5,173,93.53,91.91,-1.62,-1.69
Marcus Hogberg,OTT,19-20,24,67.79,70,-2.21,0.77,727,90.68,90.37,-0.3,1342.23,1015,93.32,93.1,-0.22,4.19
Marcus Hogberg,OTT,20-21,14,28.1,40,-10.9,-1.57,322,91.27,87.58,-3.7,635.88,443,93.66,90.97,-2.69,-8.29
Marek Langhamer,ARI,16-17,1,0.34,1,0.34,0.07,8,95.77,87.5,-8.27,13.97,11,96.92,90.91,-6.01,0.37
Marek Langhamer,ARI,17-18,1,0.87,0,0.87,0.18,10,91.29,100.0,8.71,28.88,20,95.64,100.0,4.36,0.94
Marek Mazanec,NSH,13-14,25,50.25,64,-11.75,-1.42,650,92.27,90.15,-2.11,1359.38,954,94.73,93.29,-1.44,-7.08
Marek Mazanec,NSH,14-15,2,4.04,4,0.04,0.08,47,91.41,91.49,0.08,105.63,59,93.16,93.22,0.06,0.4
Marek Mazanec,NSH,16-17,4,8.01,14,-5.99,-1.04,87,90.8,83.91,-6.89,177.58,127,93.7,88.98,-4.72,-5.24
Marek Schwarz,STL,07-08,2,1.75,6,-4.25,-0.8,17,89.68,64.71,-24.98,49.6,22,92.03,72.73,-19.3,-4.06
Marek Schwarz,STL,08-09,2,0.33,0,0.33,0.07,5,93.34,100.0,6.66,15.38,7,95.24,100.0,4.76,0.36
Mark Dekanich,NSH,10-11,1,1.74,3,-1.26,-0.22,25,93.04,88.0,-5.04,49.98,29,94.0,89.66,-4.35,-1.11
Mark Visentin,PHX,13-14,1,1.97,3,-1.03,-0.17,32,93.86,90.62,-3.23,58.82,37,94.69,91.89,-2.8,-0.86
Martin Biron,PHI,07-08,62,149.77,152,1.77,3.07,1845,91.88,91.76,-0.12,3458.97,2507,94.03,93.94,-0.09,15.51
Martin Biron,PHI,08-09,55,154.62,145,10.62,4.6,1699,90.9,91.47,0.57,3139.42,2353,93.43,93.84,0.41,24.59
Martin Biron,NYI,09-10,29,82.49,88,-4.51,0.59,854,90.34,89.7,-0.64,1607.97,1167,92.93,92.46,-0.47,3.07
Martin Biron,NYR,10-11,17,32.8,33,-0.2,0.56,426,92.3,92.25,-0.05,923.87,584,94.38,94.35,-0.03,2.88
Martin Biron,NYR,11-12,21,42.79,49,-5.21,-0.25,518,91.74,90.54,-1.2,1209.2,714,94.01,93.14,-0.87,-1.23
Martin Biron,NYR,12-13,6,14.99,13,2.99,0.88,156,90.39,91.67,1.27,334.1,232,93.54,94.4,0.86,4.37
Martin Biron,NYR,13-14,2,3.74,9,-5.26,-0.98,38,90.17,76.32,-13.85,70.62,53,92.95,83.02,-9.93,-4.91
Martin Brodeur,N.J,07-08,77,167.3,166,8.3,4.65,2042,91.81,91.87,0.06,4472.03,2728,93.87,93.91,0.05,23.51
Martin Brodeur,N.J,08-09,31,71.14,73,0.14,1.22,869,91.81,91.6,-0.21,1784.78,1138,93.75,93.59,-0.16,6.53
Martin Brodeur,N.J,09-10,77,158.58,167,-4.42,2.0,1988,92.02,91.6,-0.42,4427.73,2635,93.98,93.66,-0.32,10.4
Martin Brodeur,N.J,10-11,56,102.47,125,-22.53,-2.53,1311,92.18,90.47,-1.72,3102.48,1761,94.18,92.9,-1.28,-12.96
Martin Brodeur,N.J,11-12,59,116.93,136,-18.07,-1.39,1471,92.05,90.75,-1.3,3372.8,1934,93.95,92.97,-0.99,-6.92
Martin Brodeur,N.J,12-13,29,53.59,65,-9.41,-0.88,652,91.78,90.03,-1.75,1759.45,868,93.83,92.51,-1.31,-4.38
Martin Brodeur,N.J,13-14,39,76.84,96,-18.16,-2.22,970,92.08,90.1,-1.98,2260.13,1284,94.02,92.52,-1.49,-11.09
Martin Brodeur,STL,14-15,7,13.48,17,-3.52,-0.46,169,92.02,89.94,-2.08,354.38,222,93.93,92.34,-1.59,-2.26
Martin Gerber,OTT,07-08,57,147.96,145,4.96,3.68,1619,90.86,91.04,0.18,3178.13,2177,93.2,93.34,0.14,18.6
Martin Gerber,OTT,08-09,14,34.65,40,-5.35,-0.39,397,91.27,89.92,-1.35,835.1,551,93.71,92.74,-0.97,-2.09
Martin Gerber,TOR,08-09,12,38.33,38,3.33,1.28,401,90.44,90.52,0.08,699.08,588,93.48,93.54,0.06,6.85
Martin Gerber,EDM,10-11,3,10.63,4,6.63,1.5,95,88.81,95.79,6.98,184.28,127,91.63,96.85,5.22,7.69
Martin Jones,L.A,13-14,19,44.2,33,11.2,3.03,500,91.16,93.4,2.24,1084.62,702,93.7,95.3,1.6,15.17
Martin Jones,L.A,14-15,15,28.14,29,-0.86,0.37,307,90.83,90.55,-0.28,774.25,448,93.72,93.53,-0.19,1.81
Martin Jones,S.J,15-16,65,145.81,143,6.81,4.2,1733,91.59,91.75,0.16,3741.32,2432,94.0,94.12,0.12,20.36
Martin Jones,S.J,16-17,65,155.61,152,5.61,3.98,1724,90.97,91.18,0.21,3765.87,2488,93.75,93.89,0.15,20.13
Martin Jones,S.J,17-18,60,154.46,146,9.46,4.47,1700,90.91,91.41,0.5,3394.73,2379,93.51,93.86,0.36,24.03
Martin Jones,S.J,18-19,62,155.09,176,-19.91,-0.98,1686,90.8,89.56,-1.24,3536.97,2341,93.38,92.48,-0.89,-5.34
Martin Jones,S.J,19-20,41,103.27,115,-7.73,0.34,1115,90.74,89.69,-1.05,2283.77,1537,93.28,92.52,-0.76,1.84
Martin Jones,S.J,20-21,34,85.73,102,-12.27,-0.8,979,91.24,89.58,-1.66,1846.35,1387,93.82,92.65,-1.17,-4.21
Marty Turco,DAL,07-08,62,141.63,140,3.63,3.28,1539,90.8,90.9,0.11,3589.13,2185,93.52,93.59,0.07,16.54
Marty Turco,DAL,08-09,73,182.12,198,-11.88,0.86,1955,90.68,89.87,-0.81,4221.88,2779,93.45,92.88,-0.57,4.6
Marty Turco,DAL,09-10,52,133.56,137,-1.44,2.07,1583,91.56,91.35,-0.22,3014.65,2229,94.01,93.85,-0.15,10.78
Marty Turco,CHI,10-11,29,64.08,82,-16.92,-2.15,799,91.98,89.74,-2.24,1626.62,1058,93.94,92.25,-1.69,-11.02
Marty Turco,BOS,11-12,5,11.38,16,-4.62,-0.72,110,89.66,85.45,-4.2,259.53,165,93.1,90.3,-2.8,-3.59
Mathieu Garon,EDM,07-08,44,116.49,112,7.49,3.63,1283,90.92,91.27,0.35,2510.72,1869,93.77,94.01,0.24,18.35
Mathieu Garon,EDM,08-09,15,37.82,42,-3.18,0.05,407,90.71,89.68,-1.03,809.4,590,93.59,92.88,-0.71,0.26
Mathieu Garon,PIT,08-09,4,9.08,10,-0.92,-0.02,92,90.13,89.13,-1.0,204.58,137,93.37,92.7,-0.67,-0.08
Mathieu Garon,CBJ,09-10,35,74.15,82,-7.85,-0.19,857,91.35,90.43,-0.92,1757.7,1207,93.86,93.21,-0.65,-1.01
Mathieu Garon,CBJ,10-11,36,73.6,88,-13.4,-1.29,886,91.69,90.07,-1.62,1929.7,1227,94.0,92.83,-1.17,-6.59
Mathieu Garon,T.B,11-12,48,99.88,118,-17.12,-1.56,1191,91.61,90.09,-1.52,2467.88,1687,94.08,93.01,-1.07,-7.77
Mathieu Garon,T.B,12-13,18,33.59,43,-9.41,-1.27,426,92.12,89.91,-2.21,908.95,598,94.38,92.81,-1.57,-6.32
Matiss Kivlenieks,CBJ,19-20,6,10.94,14,-3.06,-0.37,137,92.01,89.78,-2.23,284.55,187,94.15,92.51,-1.63,-2.0
Matiss Kivlenieks,CBJ,20-21,2,5.23,7,-0.77,-0.05,71,92.64,90.14,-2.5,123.17,87,93.99,91.95,-2.04,-0.28
Matt Climie,DAL,08-09,3,9.15,9,0.15,0.18,85,89.24,89.41,0.18,184.13,127,92.8,92.91,0.12,0.96
Matt Climie,DAL,09-10,1,3.61,5,-1.39,-0.2,38,90.51,86.84,-3.67,60.0,51,92.93,90.2,-2.73,-1.02
Matt Climie,PHX,10-11,1,1.16,1,0.16,0.05,16,92.78,93.75,0.97,32.4,25,95.38,96.0,0.62,0.26
Matt Hackett,MIN,11-12,12,24.36,22,2.36,0.93,272,91.04,91.91,0.87,531.92,411,94.07,94.65,0.57,4.64
Matt Hackett,MIN,12-13,1,3.39,5,-1.61,-0.27,33,89.74,84.85,-4.89,59.2,38,91.09,86.84,-4.24,-1.32
Matt Hackett,BUF,13-14,8,19.46,22,-2.54,-0.17,239,91.86,90.79,-1.06,422.37,328,94.07,93.29,-0.78,-0.85
Matt Hackett,BUF,14-15,5,12.42,18,-5.58,-0.9,155,91.98,88.39,-3.6,250.22,223,94.43,91.93,-2.5,-4.41
Matt Keetley,CGY,07-08,1,0.05,0,0.05,0.01,2,97.47,100.0,2.53,9.37,2,97.47,100.0,2.53,0.06
Matt Murray,PIT,15-16,13,28.9,25,3.9,1.36,355,91.86,92.96,1.1,743.73,463,93.76,94.6,0.84,6.58
Matt Murray,PIT,16-17,49,123.99,111,13.99,5.12,1450,91.45,92.34,0.9,2747.05,1946,93.63,94.3,0.67,25.85
Matt Murray,PIT,17-18,49,120.58,133,-11.42,-0.01,1422,91.52,90.65,-0.87,2715.7,1906,93.67,93.02,-0.65,-0.08
Matt Murray,PIT,18-19,50,127.07,129,5.07,3.16,1593,92.02,91.9,-0.12,2827.48,2176,94.16,94.07,-0.09,17.21
Matt Murray,PIT,19-20,38,89.98,107,-14.02,-1.02,1055,91.47,89.86,-1.61,2217.72,1415,93.64,92.44,-1.2,-5.5
Matt Murray,OTT,20-21,27,68.43,79,-9.57,-0.61,737,90.71,89.28,-1.43,1390.77,997,93.14,92.08,-1.06,-3.24
Matt Zaba,NYR,09-10,1,2.03,2,0.03,0.04,16,87.28,87.5,0.22,33.72,21,90.31,90.48,0.17,0.2
Matthew O'Connor,OTT,15-16,1,2.85,3,-0.15,0.02,34,91.63,91.18,-0.45,58.03,48,94.07,93.75,-0.32,0.1
Maxime Lagace,VGK,17-18,16,40.33,57,-15.67,-2.23,431,90.64,86.77,-3.87,866.63,596,93.23,90.44,-2.8,-12.01
Maxime Lagace,VGK,18-19,1,2.97,4,-1.03,-0.14,31,90.42,87.1,-3.32,59.52,45,93.4,91.11,-2.29,-0.75
Maxime Lagace,PIT,20-21,1,1.78,0,1.78,0.37,29,93.85,100.0,6.15,58.03,37,95.18,100.0,4.82,1.95
Michael Dipietro,VAN,18-19,1,2.8,7,-4.2,-0.72,24,88.35,70.83,-17.52,60.0,38,92.64,81.58,-11.06,-3.93
Michael Dipietro,VAN,19-20,1,0.45,1,-0.55,-0.09,7,93.63,85.71,-7.91,8.38,8,94.42,87.5,-6.92,-0.51
Michael Houser,BUF,20-21,4,9.67,14,-4.33,-0.64,141,93.14,90.07,-3.07,241.5,175,94.47,92.0,-2.47,-3.39
Michael Hutchinson,WPG,13-14,3,7.07,5,2.07,0.54,88,91.96,94.32,2.35,181.78,124,94.3,95.97,1.67,2.72
Michael Hutchinson,WPG,14-15,38,87.72,85,2.72,2.19,970,90.96,91.24,0.28,2102.97,1349,93.5,93.7,0.2,10.74
Michael Hutchinson,WPG,15-16,30,69.88,75,-4.12,0.48,805,91.32,90.68,-0.64,1572.07,1084,93.55,93.08,-0.47,2.31
Michael Hutchinson,WPG,16-17,28,55.85,67,-10.15,-0.98,691,91.92,90.3,-1.61,1368.72,930,93.99,92.8,-1.2,-4.95
Michael Hutchinson,WPG,17-18,3,6.99,7,-0.01,0.12,75,90.69,90.67,-0.02,126.23,104,93.28,93.27,-0.01,0.62
Michael Hutchinson,FLA,18-19,4,8.55,14,-4.45,-0.67,87,90.17,83.91,-6.26,200.05,125,93.16,88.8,-4.36,-3.63
Michael Hutchinson,TOR,18-19,5,11.99,13,-1.01,0.02,152,92.11,91.45,-0.66,294.33,212,94.34,93.87,-0.48,0.12
Michael Hutchinson,COL,19-20,1,1.67,1,0.67,0.15,18,90.72,94.44,3.72,58.12,33,94.94,96.97,2.03,0.81
Michael Hutchinson,TOR,19-20,15,39.96,47,-7.04,-0.59,409,90.23,88.51,-1.72,778.55,551,92.75,91.47,-1.28,-3.22
Michael Hutchinson,TOR,20-21,8,16.37,17,-0.63,0.17,211,92.24,91.94,-0.3,417.4,288,94.32,94.1,-0.22,0.91
Michael Leighton,CAR,07-08,3,6.95,7,-0.05,0.11,68,89.79,89.71,-0.08,156.98,97,92.84,92.78,-0.06,0.57
Michael Leighton,CAR,08-09,19,49.14,49,1.14,1.05,505,90.27,90.3,0.03,1021.4,733,93.3,93.32,0.02,5.61
Michael Leighton,CAR,09-10,7,18.64,25,-6.36,-0.88,164,88.63,84.76,-3.88,349.85,230,91.89,89.13,-2.76,-4.59
Michael Leighton,PHI,09-10,27,65.86,58,7.86,2.66,727,90.94,92.02,1.08,1419.37,1027,93.59,94.35,0.77,13.83
Michael Leighton,PHI,10-11,1,2.66,4,-0.34,-0.02,36,92.62,88.89,-3.73,58.7,52,94.89,92.31,-2.58,-0.11
Michael Leighton,PHI,12-13,1,1.96,5,-3.04,-0.57,26,92.46,80.77,-11.69,59.13,32,93.88,84.38,-9.5,-2.86
Michael Leighton,CHI,15-16,1,1.53,1,0.53,0.14,17,90.98,94.12,3.14,39.48,19,91.93,94.74,2.81,0.66
Michael Leighton,CAR,16-17,4,8.8,12,-3.2,-0.47,92,90.44,86.96,-3.48,209.6,131,93.28,90.84,-2.44,-2.38
Michal Neuvirth,WSH,08-09,5,7.62,10,-2.38,-0.31,101,92.45,90.1,-2.35,218.43,132,94.22,92.42,-1.8,-1.65
Michal Neuvirth,WSH,09-10,17,42.2,38,4.2,1.59,462,90.87,91.77,0.91,866.5,642,93.43,94.08,0.65,8.25
Michal Neuvirth,WSH,10-11,48,107.03,109,0.03,1.92,1258,91.49,91.34,-0.16,2626.43,1731,93.82,93.7,-0.11,9.84
Michal Neuvirth,WSH,11-12,38,77.67,95,-16.33,-1.82,974,92.03,90.25,-1.78,2009.22,1358,94.28,93.0,-1.28,-9.08
Michal Neuvirth,WSH,12-13,13,31.64,33,-1.36,0.31,367,91.38,91.01,-0.37,718.52,498,93.65,93.37,-0.27,1.52
Michal Neuvirth,BUF,13-14,2,9.78,5,4.78,1.12,96,89.82,94.79,4.98,116.58,119,91.78,95.8,4.01,5.6
Michal Neuvirth,WSH,13-14,13,35.35,36,-0.65,0.5,418,91.54,91.39,-0.16,764.35,559,93.68,93.56,-0.12,2.52
Michal Neuvirth,BUF,14-15,27,79.76,76,4.76,2.48,940,91.52,91.91,0.4,1535.83,1312,93.92,94.21,0.29,12.16
Michal Neuvirth,NYI,14-15,5,11.34,15,-3.66,-0.51,126,91.0,88.1,-2.9,305.83,169,93.29,91.12,-2.16,-2.52
Michal Neuvirth,PHI,15-16,32,80.24,69,15.24,4.66,908,91.16,92.4,1.24,1807.9,1242,93.54,94.44,0.91,22.59
Michal Neuvirth,PHI,16-17,28,51.04,64,-11.96,-1.41,586,91.29,89.08,-2.21,1350.28,818,93.76,92.18,-1.58,-7.12
Michal Neuvirth,PHI,17-18,22,48.42,45,4.42,1.67,530,90.86,91.51,0.65,1031.6,724,93.31,93.78,0.47,8.96
Michal Neuvirth,PHI,18-19,7,16.36,26,-8.64,-1.32,184,91.11,85.87,-5.24,364.73,244,93.3,89.34,-3.95,-7.17
Miikka Kiprusoff,CGY,07-08,75,171.06,192,-16.94,-0.29,2054,91.67,90.65,-1.02,4263.0,2763,93.81,93.05,-0.76,-1.46
Miikka Kiprusoff,CGY,08-09,76,196.46,208,-6.54,2.13,2154,90.88,90.34,-0.54,4386.78,2990,93.43,93.04,-0.39,11.38
Miikka Kiprusoff,CGY,09-10,72,173.75,160,14.75,5.86,2000,91.31,92.0,0.69,4128.85,2822,93.84,94.33,0.49,30.46
Miikka Kiprusoff,CGY,10-11,71,151.23,182,-23.77,-1.9,1932,92.17,90.58,-1.59,4108.82,2702,94.4,93.26,-1.14,-9.74
Miikka Kiprusoff,CGY,11-12,70,167.7,161,11.7,5.45,2040,91.78,92.11,0.33,4095.1,2898,94.21,94.44,0.23,27.18
Miikka Kiprusoff,CGY,12-13,24,53.56,77,-20.44,-3.08,650,91.76,88.15,-3.61,1334.63,928,94.23,91.7,-2.53,-15.33
Mikael Tellqvist,PHX,07-08,22,52.02,56,-1.98,0.57,605,91.4,90.74,-0.66,1217.47,791,93.42,92.92,-0.5,2.89
Mikael Tellqvist,BUF,08-09,6,10.69,9,1.69,0.5,125,91.45,92.8,1.35,229.25,166,93.56,94.58,1.02,2.65
Mikael Tellqvist,PHX,08-09,14,33.27,34,1.27,0.81,384,91.33,91.15,-0.19,724.02,528,93.7,93.56,-0.14,4.35
Mike Brodeur,OTT,09-10,3,7.43,3,4.43,0.97,87,91.47,96.55,5.09,177.97,122,93.91,97.54,3.63,5.05
Mike Brodeur,OTT,10-11,4,4.59,7,-2.41,-0.39,42,89.08,83.33,-5.75,96.75,63,92.72,88.89,-3.83,-2.0
Mike Condon,MTL,15-16,55,129.2,140,-8.8,0.67,1456,91.13,90.38,-0.74,3101.2,2022,93.61,93.08,-0.53,3.26
Mike Condon,OTT,16-17,40,100.48,96,5.48,2.98,1114,90.98,91.38,0.4,2282.87,1620,93.8,94.07,0.28,15.04
Mike Condon,PIT,16-17,1,0.37,0,0.37,0.08,7,94.69,100.0,5.31,19.85,7,94.69,100.0,5.31,0.41
Mike Condon,OTT,17-18,31,77.99,87,-7.01,0.06,897,91.31,90.3,-1.0,1620.65,1234,93.68,92.95,-0.73,0.32
Mike Condon,OTT,18-19,2,3.5,8,-4.5,-0.77,40,91.26,80.0,-11.26,75.25,50,93.01,84.0,-9.01,-4.17
Mike Mckenna,T.B,08-09,15,36.55,46,-8.45,-0.96,406,91.0,88.67,-2.33,771.98,542,93.26,91.51,-1.74,-5.11
Mike Mckenna,N.J,10-11,2,4.95,6,-1.05,-0.12,55,91.0,89.09,-1.91,117.87,78,93.66,92.31,-1.35,-0.61
Mike Mckenna,CBJ,13-14,4,7.56,11,-3.44,-0.55,114,93.37,90.35,-3.02,217.15,153,95.06,92.81,-2.25,-2.76
Mike Mckenna,ARI,14-15,1,2.44,5,-2.56,-0.48,34,92.82,85.29,-7.53,60.0,45,94.58,88.89,-5.69,-2.33
Mike Mckenna,DAL,17-18,2,4.07,5,-0.93,-0.1,50,91.86,90.0,-1.86,100.12,70,94.19,92.86,-1.33,-0.56
Mike Mckenna,OTT,18-19,10,21.83,30,-7.17,-0.93,292,92.52,89.73,-2.8,450.32,373,94.15,91.96,-2.19,-5.07
Mike Mckenna,PHI,18-19,1,2.4,4,-1.6,-0.25,24,89.99,83.33,-6.65,56.65,37,93.51,89.19,-4.32,-1.38
Mike Murphy,CAR,11-12,2,0.78,0,0.78,0.17,9,91.31,100.0,8.69,36.1,14,94.42,100.0,5.58,0.86
Mike Smith,DAL,07-08,21,41.43,48,-5.57,-0.34,510,91.88,90.59,-1.29,1162.73,698,94.06,93.12,-0.94,-1.73
Mike Smith,T.B,07-08,13,29.41,36,-6.59,-0.76,335,91.22,89.25,-1.97,772.32,465,93.68,92.26,-1.42,-3.83
Mike Smith,T.B,08-09,41,103.86,107,-0.14,1.75,1278,91.87,91.63,-0.25,2465.32,1727,93.99,93.8,-0.18,9.37
Mike Smith,T.B,09-10,42,105.24,116,-7.76,0.42,1165,90.97,90.04,-0.92,2260.78,1563,93.27,92.58,-0.69,2.17
Mike Smith,T.B,10-11,22,44.6,58,-12.4,-1.61,575,92.24,89.91,-2.33,1188.9,789,94.35,92.65,-1.7,-8.24
Mike Smith,PHX,11-12,67,179.21,144,38.21,10.99,2065,91.32,93.03,1.71,3880.7,2897,93.81,95.03,1.22,54.83
Mike Smith,PHX,12-13,34,79.62,84,-4.38,0.6,938,91.51,91.04,-0.47,1946.55,1318,93.96,93.63,-0.33,3.0
Mike Smith,PHX,13-14,62,164.74,159,10.74,5.17,1869,91.19,91.49,0.31,3565.58,2579,93.61,93.83,0.22,25.87
Mike Smith,ARI,14-15,62,165.81,187,-18.19,-0.61,1955,91.52,90.43,-1.08,3520.35,2688,93.83,93.04,-0.79,-2.99
Mike Smith,ARI,15-16,32,73.68,77,0.68,1.56,921,92.0,91.64,-0.36,1737.18,1323,94.43,94.18,-0.25,7.57
Mike Smith,ARI,16-17,55,168.94,155,15.94,6.28,1817,90.7,91.47,0.77,3189.37,2655,93.64,94.16,0.53,31.74
Mike Smith,CGY,17-18,55,153.7,141,17.7,5.93,1685,90.88,91.63,0.75,3170.42,2377,93.53,94.07,0.53,31.9
Mike Smith,CGY,18-19,42,99.95,108,-7.05,0.44,1068,90.64,89.89,-0.75,2377.73,1499,93.33,92.8,-0.54,2.37
Mike Smith,EDM,19-20,39,96.0,105,-9.0,0.01,1082,91.13,90.3,-0.83,2130.67,1493,93.57,92.97,-0.6,0.03
Mike Smith,EDM,20-21,32,82.24,71,11.24,3.57,920,91.06,92.28,1.22,1823.88,1273,93.54,94.42,0.88,18.85
Mikko Koskinen,NYI,10-11,4,10.7,15,-4.3,-0.66,118,90.93,87.29,-3.65,207.85,161,93.36,90.68,-2.67,-3.35
Mikko Koskinen,EDM,18-19,55,142.4,146,0.4,2.54,1550,90.81,90.58,-0.23,2966.52,2129,93.31,93.14,-0.17,13.79
Mikko Koskinen,EDM,19-20,38,101.08,96,10.08,3.6,1164,91.32,91.75,0.44,2057.32,1590,93.64,93.96,0.32,19.49
Mikko Koskinen,EDM,20-21,26,65.54,76,-9.46,-0.64,756,91.33,89.95,-1.38,1421.37,1004,93.47,92.43,-1.04,-3.37
Nathan Lawson,NYI,10-11,10,24.69,26,-0.31,0.4,243,89.84,89.3,-0.54,383.02,324,92.38,91.98,-0.41,2.02
Nathan Lawson,OTT,13-14,1,0.57,2,-1.43,-0.27,10,94.27,80.0,-14.27,11.87,12,95.22,83.33,-11.89,-1.37
Nathan Lieuwen,BUF,13-14,7,18.3,18,0.3,0.41,191,90.42,90.58,0.16,363.12,280,93.47,93.57,0.11,2.07
Niklas Backstrom,MIN,07-08,57,121.09,130,-2.91,1.61,1585,92.36,91.8,-0.56,3260.48,2179,94.44,94.03,-0.41,8.14
Niklas Backstrom,MIN,08-09,70,161.58,157,6.58,4.01,2020,92.0,92.23,0.23,4014.03,2775,94.18,94.34,0.17,21.41
Niklas Backstrom,MIN,09-10,60,129.54,158,-23.46,-2.2,1632,92.06,90.32,-1.74,3449.53,2290,94.34,93.1,-1.24,-11.42
Niklas Backstrom,MIN,10-11,51,128.66,131,1.66,2.71,1565,91.78,91.63,-0.15,2955.07,2166,94.06,93.95,-0.11,13.85
Niklas Backstrom,MIN,11-12,46,107.41,105,4.41,2.87,1298,91.72,91.91,0.19,2571.68,1862,94.23,94.36,0.13,14.34
Niklas Backstrom,MIN,12-13,42,79.73,98,-14.27,-1.38,1067,92.53,90.82,-1.71,2285.93,1471,94.58,93.34,-1.24,-6.88
Niklas Backstrom,MIN,13-14,21,44.2,54,-7.8,-0.77,545,91.89,90.09,-1.8,1070.23,742,94.04,92.72,-1.32,-3.84
Niklas Backstrom,MIN,14-15,19,36.93,51,-14.07,-2.17,452,91.83,88.72,-3.11,1000.35,626,94.1,91.85,-2.25,-10.66
Niklas Backstrom,CGY,15-16,4,10.03,13,-2.97,-0.43,109,90.8,88.07,-2.72,225.62,150,93.31,91.33,-1.98,-2.07
Niklas Svedberg,BOS,13-14,1,2.22,2,0.22,0.09,35,93.67,94.29,0.62,60.83,39,94.32,94.87,0.55,0.43
Niklas Svedberg,BOS,14-15,18,36.9,34,2.9,1.28,424,91.3,91.98,0.68,909.77,592,93.77,94.26,0.49,6.28
Niklas Treutle,ARI,15-16,2,1.48,5,-3.52,-0.7,20,92.61,75.0,-17.61,49.58,27,94.53,81.48,-13.05,-3.4
Nikolai Khabibulin,CHI,07-08,49,117.11,124,-5.89,0.93,1343,91.28,90.77,-0.51,2764.03,1717,93.18,92.78,-0.4,4.71
Nikolai Khabibulin,CHI,08-09,40,94.57,86,10.57,3.58,1106,91.45,92.22,0.77,2321.08,1419,93.34,93.94,0.6,19.15
Nikolai Khabibulin,EDM,09-10,17,52.25,51,2.25,1.36,580,90.99,91.21,0.22,1023.97,780,93.3,93.46,0.16,7.06
Nikolai Khabibulin,EDM,10-11,47,135.04,153,-17.96,-1.06,1378,90.2,88.9,-1.3,2675.55,1953,93.09,92.17,-0.92,-5.44
Nikolai Khabibulin,EDM,11-12,40,107.89,100,8.89,3.76,1114,90.31,91.02,0.71,2264.33,1568,93.12,93.62,0.5,18.77
Nikolai Khabibulin,EDM,12-13,12,32.96,29,3.96,1.41,376,91.23,92.29,1.05,681.65,527,93.75,94.5,0.75,7.03
Nikolai Khabibulin,CHI,13-14,4,6.86,14,-7.14,-1.3,74,90.73,81.08,-9.65,166.98,99,93.07,85.86,-7.21,-6.51
Olie Kolzig,WSH,07-08,53,123.56,150,-23.44,-2.42,1394,91.14,89.24,-1.9,3070.15,1907,93.52,92.13,-1.39,-12.23
Olie Kolzig,T.B,08-09,8,19.32,25,-4.68,-0.56,245,92.11,89.8,-2.32,408.15,313,93.83,92.01,-1.81,-2.99
Ondrej Pavelec,ATL,07-08,7,14.67,18,-2.33,-0.19,190,92.28,90.53,-1.75,326.63,263,94.42,93.16,-1.27,-0.98
Ondrej Pavelec,ATL,08-09,12,27.74,36,-8.26,-1.07,301,90.78,88.04,-2.74,596.17,403,93.12,91.07,-2.05,-5.7
Ondrej Pavelec,ATL,09-10,42,127.08,127,1.08,2.44,1352,90.6,90.61,0.01,2319.25,1793,92.91,92.92,0.0,12.68
Ondrej Pavelec,ATL,10-11,58,151.91,144,9.91,4.7,1700,91.06,91.53,0.47,3212.93,2300,93.4,93.74,0.34,24.02
Ondrej Pavelec,WPG,11-12,68,184.91,190,0.91,3.58,2033,90.9,90.65,-0.25,3910.45,2822,93.45,93.27,-0.18,17.87
Ondrej Pavelec,WPG,12-13,44,108.06,118,-8.94,0.25,1249,91.35,90.55,-0.8,2537.38,1747,93.81,93.25,-0.57,1.23
Ondrej Pavelec,WPG,13-14,57,150.48,162,-10.52,0.65,1643,90.84,90.14,-0.7,3233.32,2318,93.51,93.01,-0.5,3.25
Ondrej Pavelec,WPG,14-15,50,120.69,108,17.69,5.84,1353,91.08,92.02,0.94,2795.8,1857,93.5,94.18,0.68,28.64
Ondrej Pavelec,WPG,15-16,33,89.33,88,3.33,2.39,917,90.26,90.4,0.14,1887.08,1282,93.03,93.14,0.1,11.61
Ondrej Pavelec,WPG,16-17,8,18.6,25,-5.4,-0.72,232,91.98,89.22,-2.76,435.28,294,93.67,91.5,-2.18,-3.65
Ondrej Pavelec,NYR,17-18,19,45.52,46,0.52,0.89,510,91.07,90.98,-0.09,898.67,699,93.49,93.42,-0.07,4.76
Oscar Dansk,VGK,17-18,4,7.96,5,2.96,0.69,93,91.44,94.62,3.18,167.47,121,93.42,95.87,2.45,3.7
