Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Chad Johnson,BUF,17-18,36,83.92,105,-19.08,-2.1,963,91.29,89.1,-2.19,1757.4,1321,93.65,92.05,-1.6,-11.3
Chad Johnson,ANA,18-19,9,15.06,20,-4.94,-0.63,156,90.34,87.18,-3.16,318.97,226,93.33,91.15,-2.18,-3.43
Chad Johnson,STL,18-19,10,21.07,29,-7.93,-1.1,250,91.57,88.4,-3.17,488.82,343,93.86,91.55,-2.31,-5.98
Charlie Lindgren,MTL,15-16,1,2.35,2,0.35,0.12,28,91.59,92.86,1.27,56.85,41,94.26,95.12,0.86,0.58
Charlie Lindgren,MTL,16-17,2,4.66,3,1.66,0.42,59,92.09,94.92,2.82,120.87,80,94.17,96.25,2.08,2.14
Charlie Lindgren,MTL,17-18,14,45.31,42,4.31,1.58,457,90.09,90.81,0.72,824.72,645,92.98,93.49,0.51,8.47
Charlie Lindgren,MTL,18-19,1,5.44,5,0.44,0.17,49,88.9,89.8,0.89,64.78,64,91.5,92.19,0.68,0.95
Charlie Lindgren,MTL,19-20,6,18.59,20,0.59,0.44,178,89.56,88.76,-0.79,357.83,253,92.65,92.09,-0.56,2.36
Chris Beckford-Tseu,STL,07-08,1,1.04,1,0.04,0.03,9,88.41,88.89,0.48,26.62,13,91.98,92.31,0.33,0.14
Chris Driedger,OTT,14-15,1,0.64,0,0.64,0.14,10,93.6,100.0,6.4,22.87,14,95.43,100.0,4.57,0.71
Chris Driedger,OTT,15-16,1,1.0,0,1.0,0.22,11,90.93,100.0,9.07,31.82,14,92.87,100.0,7.13,1.08
Chris Driedger,OTT,16-17,1,1.61,4,-2.39,-0.44,15,89.26,73.33,-15.93,39.6,26,93.8,84.62,-9.19,-2.23
Chris Driedger,FLA,19-20,12,29.91,22,8.91,2.16,354,91.55,93.79,2.23,630.38,454,93.41,95.15,1.74,11.72
Chris Driedger,FLA,20-21,23,54.07,47,10.07,2.86,640,91.55,92.66,1.1,1341.48,891,93.93,94.73,0.79,15.12
Chris Gibson,NYI,15-16,4,7.02,11,-3.98,-0.68,93,92.46,88.17,-4.28,193.88,131,94.64,91.6,-3.04,-3.32
Chris Gibson,NYI,17-18,8,24.66,26,-1.34,0.18,284,91.32,90.85,-0.47,423.4,391,93.69,93.35,-0.34,0.94
Chris Gibson,NYI,18-19,2,0.27,1,-0.73,-0.13,17,98.41,94.12,-4.29,20.0,20,98.65,95.0,-3.65,-0.7
Chris Gibson,T.B,20-21,2,3.3,5,-1.7,-0.26,40,91.75,87.5,-4.25,111.55,51,93.53,90.2,-3.33,-1.4
Chris Holt,STL,08-09,1,0.23,0,0.23,0.05,3,92.2,100.0,7.8,18.45,4,94.15,100.0,5.85,0.26
Chris Mason,NSH,07-08,50,103.94,127,-20.06,-2.07,1241,91.62,89.77,-1.86,2599.95,1641,93.67,92.26,-1.41,-10.43
Chris Mason,STL,08-09,56,132.03,127,7.03,3.54,1509,91.25,91.58,0.33,3131.67,2151,93.86,94.1,0.23,18.95
Chris Mason,STL,09-10,61,152.66,148,8.66,4.33,1695,90.99,91.27,0.27,3467.97,2390,93.61,93.81,0.19,22.51
Chris Mason,ATL,10-11,33,76.38,95,-16.62,-1.87,881,91.33,89.22,-2.11,1669.9,1185,93.55,91.98,-1.57,-9.55
Chris Mason,WPG,11-12,20,40.45,41,0.45,0.85,414,90.23,90.1,-0.13,967.82,632,93.6,93.51,-0.09,4.22
Chris Mason,NSH,12-13,11,20.8,28,-7.2,-1.06,228,90.88,87.72,-3.16,466.13,312,93.33,91.03,-2.31,-5.3
