ID,date,utc_start_time,state,home_team,away_team,home_win_probability,projected_home_goals,projected_away_goals,home_playoffs_if_win,home_cup_if_win,home_points_if_win,home_playoffs_if_lose_overtime,home_cup_if_lose_overtime,home_points_if_lose_overtime,home_playoffs_if_lose_regulation,home_cup_if_lose_regulation,home_points_if_lose_regulation,away_playoffs_if_win,away_cup_if_win,away_points_if_win,away_playoffs_if_lose_overtime,away_cup_if_lose_overtime,away_points_if_lose_overtime,away_playoffs_if_lose_regulation,away_cup_if_lose_regulation,away_points_if_lose_regulation,home_record,away_record
2025020045,2025-10-13,2025-10-13 23:00:00,Final,CBJ,N.J,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,3 - 3 - 0,6 - 1 - 0
2025020046,2025-10-13,2025-10-13 23:30:00,Final,VAN,STL,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,4 - 4 - 0,3 - 3 - 1
2025020047,2025-10-13,2025-10-14 00:00:00,Final,MIN,L.A,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,3 - 3 - 2
2025020048,2025-10-13,2025-10-14 00:30:00,Final,CHI,UTA,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,4 - 2 - 2,6 - 2 - 0
2025020049,2025-10-14,2025-10-14 23:00:00,Final,TOR,NSH,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 3 - 2
2025020050,2025-10-14,2025-10-14 23:00:00,Final,MTL,SEA,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,6 - 3 - 0,4 - 2 - 2
2025020051,2025-10-14,2025-10-14 23:00:00,Final,NYR,EDM,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,3 - 4 - 2,4 - 3 - 1
2025020052,2025-10-14,2025-10-14 23:00:00,Final,WSH,T.B,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,1 - 4 - 2
2025020053,2025-10-14,2025-10-15 01:00:00,Final,CGY,VGK,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,1 - 6 - 1,5 - 0 - 2
2025020054,2025-10-14,2025-10-15 01:30:00,Final,DAL,MIN,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 4 - 1
