Player,Season,Position,Team,GP,TOI,TOI/GP,game_strength,G,A1,A2,P1,P,ixG,iSF,iCF,iFF
Adam Henrique,23-24,F,ANA,60,716.75,11.945833333333333,5v5,9.0,7.0,6.0,16.0,22.0,8.3959775008,71.0,141.0,109.0
Adam Henrique,23-24,F,EDM,22,280.08333333333337,12.731060606060607,5v5,6.0,2.0,1.0,8.0,9.0,4.2914681426,29.0,52.0,45.0
Adam Henrique,23-24,F,ANA,60,136.05,2.2675,PP,5.0,3.0,2.0,8.0,10.0,4.691953091,24.0,49.0,41.0
Adam Henrique,23-24,F,EDM,22,12.233333333333334,0.5560606060606061,PP,0.0,0.0,0.0,0.0,0.0,0.11104157,0.0,1.0,1.0
Adam Henrique,23-24,F,ANA,60,151.08333333333334,2.5180555555555557,SH,1.0,3.0,0.0,4.0,4.0,0.935751777,8.0,12.0,11.0
Adam Henrique,23-24,F,EDM,22,20.25,0.9204545454545454,SH,0.0,0.0,0.0,0.0,0.0,0.098185815,0.0,1.0,1.0
Adam Henrique,24-25,F,EDM,81,1186.1666666666667,14.6440329218107,AS,12.0,5.0,10.0,17.0,27.0,13.43827512605675,104.0,178.0,147.0
Adam Henrique,24-25,F,EDM,81,964.05,11.901851851851852,EV,9.0,4.0,4.0,13.0,17.0,10.33990292129814,80.0,150.0,121.0
Adam Henrique,24-25,F,EDM,81,952.0833333333331,11.754115226337447,5v5,9.0,4.0,4.0,13.0,17.0,10.33990292129814,80.0,150.0,121.0
Adam Henrique,24-25,F,EDM,81,70.58333333333333,0.8713991769547325,PP,2.0,0.0,4.0,2.0,6.0,1.9679168685419692,12.0,15.0,14.0
Adam Henrique,24-25,F,EDM,81,128.48333333333332,1.5862139917695472,SH,1.0,0.0,0.0,1.0,1.0,0.449283936533794,9.0,10.0,9.0
Adam Henrique,25-26,F,EDM,8,102.16666666666666,12.770833333333332,AS,2.0,1.0,0.0,3.0,3.0,2.0959034546,12.0,17.0,15.0
Adam Henrique,25-26,F,EDM,8,84.36666666666666,10.545833333333333,EV,1.0,1.0,0.0,2.0,2.0,0.9142720346,9.0,14.0,12.0
Adam Henrique,25-26,F,EDM,8,83.91666666666666,10.489583333333332,5v5,1.0,1.0,0.0,2.0,2.0,0.9142720346,9.0,14.0,12.0
Adam Henrique,25-26,F,EDM,8,5.35,0.66875,PP,0.0,0.0,0.0,0.0,0.0,0.45841492,2.0,2.0,2.0
Adam Henrique,25-26,F,EDM,8,10.116666666666667,1.2645833333333334,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Klapka,23-24,F,CGY,6,40.56666666666666,6.76111111111111,AS,1.0,0.0,0.0,1.0,1.0,0.412301522,4.0,5.0,4.0
Adam Klapka,23-24,F,CGY,6,40.56666666666666,6.76111111111111,EV,1.0,0.0,0.0,1.0,1.0,0.412301522,4.0,5.0,4.0
Adam Klapka,23-24,F,CGY,6,40.56666666666666,6.76111111111111,5v5,1.0,0.0,0.0,1.0,1.0,0.412301522,4.0,5.0,4.0
Adam Klapka,24-25,F,CGY,31,299.2166666666667,9.652150537634409,AS,6.0,4.0,0.0,10.0,10.0,4.388085454509035,44.0,74.0,59.0
Adam Klapka,24-25,F,CGY,31,288.51666666666665,9.306989247311828,EV,6.0,4.0,0.0,10.0,10.0,4.388085454509035,44.0,74.0,59.0
Adam Klapka,24-25,F,CGY,31,288.51666666666665,9.306989247311828,5v5,6.0,4.0,0.0,10.0,10.0,4.388085454509035,44.0,74.0,59.0
Adam Klapka,24-25,F,CGY,31,8.0,0.25806451612903225,PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Klapka,25-26,F,CGY,8,86.16666666666666,10.770833333333332,AS,1.0,2.0,0.0,3.0,3.0,0.9931144512,8.0,24.0,18.0
Adam Klapka,25-26,F,CGY,8,74.85,9.35625,EV,1.0,1.0,0.0,2.0,2.0,0.7789334212,8.0,21.0,16.0
Adam Klapka,25-26,F,CGY,8,74.85,9.35625,5v5,1.0,1.0,0.0,2.0,2.0,0.7789334212,8.0,21.0,16.0
Adam Klapka,25-26,F,CGY,8,8.399999999999999,1.0499999999999998,PP,0.0,1.0,0.0,1.0,1.0,0.21418103,0.0,3.0,2.0
Adam Larsson,23-24,D,SEA,81,1816.6666666666667,22.42798353909465,AS,4.0,5.0,9.0,9.0,18.0,7.0706701911000005,130.0,297.0,187.0
Adam Larsson,23-24,D,SEA,81,1570.0333333333333,19.38312757201646,EV,4.0,4.0,9.0,8.0,17.0,6.6876388035000005,123.0,286.0,179.0
Adam Larsson,23-24,D,SEA,81,1524.9333333333334,18.82633744855967,5v5,4.0,4.0,9.0,8.0,17.0,5.6501197715,117.0,276.0,169.0
Adam Larsson,23-24,D,SEA,81,15.15,0.18703703703703703,PP,0.0,0.0,0.0,0.0,0.0,0.047194317,1.0,3.0,1.0
Adam Larsson,23-24,D,SEA,81,231.48333333333332,2.857818930041152,SH,0.0,1.0,0.0,1.0,1.0,0.0450974846,4.0,5.0,5.0
Adam Larsson,24-25,D,SEA,82,1737.2333333333331,21.185772357723575,AS,7.0,9.0,12.0,16.0,28.0,6.285849365983039,111.0,258.0,180.0
Adam Larsson,24-25,D,SEA,82,1473.0833333333337,17.964430894308947,EV,4.0,8.0,10.0,12.0,22.0,4.352281808083039,98.0,243.0,166.0
Adam Larsson,24-25,D,SEA,82,1448.6,17.665853658536584,5v5,4.0,8.0,9.0,12.0,21.0,3.7663258570830394,96.0,237.0,162.0
Adam Larsson,24-25,D,SEA,82,7.583333333333334,0.09247967479674797,PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Larsson,24-25,D,SEA,82,218.2,2.6609756097560973,SH,0.0,0.0,0.0,0.0,0.0,0.0589888878999999,10.0,11.0,10.0
Adam Larsson,25-26,D,SEA,8,182.98333333333335,22.87291666666667,AS,0.0,1.0,1.0,1.0,2.0,0.2155770974999999,9.0,18.0,10.0
Adam Larsson,25-26,D,SEA,8,162.0,20.25,EV,0.0,1.0,1.0,1.0,2.0,0.2155770974999999,9.0,18.0,10.0
Adam Larsson,25-26,D,SEA,8,159.08333333333334,19.885416666666668,5v5,0.0,1.0,1.0,1.0,2.0,0.2155770974999999,9.0,18.0,10.0
Adam Larsson,25-26,D,SEA,8,18.133333333333333,2.2666666666666666,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lowry,23-24,F,WPG,81,1264.25,15.608024691358025,AS,12.0,15.0,8.0,27.0,35.0,18.0278373194,119.0,231.0,193.0
Adam Lowry,23-24,F,WPG,81,1063.4,13.128395061728396,EV,11.0,10.0,7.0,21.0,28.0,15.2322307714,109.0,212.0,176.0
