,player,Pos
715,PONTUS HOLMBERG,F
716,QUINN HUGHES,D
718,QUINTON BYFIELD,F
719,RADEK FAKSA,F
720,RADKO GUDAS,D
723,RASMUS ANDERSSON,D
725,RASMUS DAHLIN,D
726,RASMUS KUPARI,F
727,RASMUS RISTOLAINEN,D
728,RASMUS SANDIN,D
730,REILLY SMITH,F
731,RICKARD RAKELL,F
732,RIDLY GREIG,F
736,ROBBY FABBRI,F
739,ROBERT THOMAS,F
740,RODRIGO ABOLS,F
741,ROMAN JOSI,D
742,ROOPE HINTZ,F
744,ROSS COLTON,F
745,ROSS JOHNSTON,F
747,RYAN DONATO,F
748,RYAN GRAVES,D
750,RYAN HARTMAN,F
753,RYAN LINDGREN,D
754,RYAN LOMBERG,F
755,RYAN MCDONAGH,D
756,RYAN MCLEOD,F
757,RYAN NUGENT-HOPKINS,F
758,RYAN O'REILLY,F
759,RYAN POEHLING,F
760,RYAN PULOCK,D
761,RYAN REAVES,F
762,RYAN SHEA,D
763,RYAN STROME,F
764,RYAN SUTER,D
768,RYKER EVANS,D
769,SAM BENNETT,F
770,SAM CARRICK,F
771,SAM COLANGELO,F
772,SAM LAFFERTY,F
773,SAM MALINSKI,D
776,SAM REINHART,F
777,SAM RINZEL,D
778,SAM STEEL,F
780,SAMUEL GIRARD,D
781,SAMUEL HELENIUS,F
783,SCOTT LAUGHTON,F
784,SCOTT MAYFIELD,D
785,SCOTT MORROW,D
786,SCOTT PERUNOVICH,D
789,SEAN COUTURIER,F
790,SEAN DURZI,D
791,SEAN KURALY,F
792,SEAN MONAHAN,F
793,SEAN WALKER,D
794,SEBASTIAN AHO,F
795,SETH JARVIS,F
796,SETH JONES,D
797,SHAKIR MUKHAMADULLIN,D
799,SHANE PINTO,F
800,SHANE WRIGHT,F
801,SHAYNE GOSTISBEHERE,D
802,SHEA THEODORE,D
803,SIDNEY CROSBY,F
804,SIMON BENOIT,D
805,SIMON EDVINSSON,D
806,SIMON HOLMSTROM,F
807,SIMON NEMEC,D
810,SPENCER STASTNEY,D
811,STEFAN NOESEN,F
812,STEVEN LORENTZ,F
814,STEVEN STAMKOS,F
815,TAGE THOMPSON,F
816,TANNER JEANNOT,F
818,TANNER PEARSON,F
819,TAYLOR HALL,F
820,TAYLOR RADDYSH,F
822,TEDDY BLUEGER,F
823,TEUVO TERAVAINEN,F
825,THOMAS CHABOT,D
826,THOMAS HARLEY,D
827,THOMAS NOVAK,F
828,TIM STUTZLE,F
830,TIMO MEIER,F
831,TIMOTHY LILJEGREN,D
832,TJ BRODIE,D
835,TOM WILSON,F
836,TOMAS HERTL,F
837,TOMAS NOSEK,F
838,TOMAS TATAR,F
839,TONY DEANGELO,D
841,TRAVIS DERMOTT,D
842,TRAVIS HAMONIC,D
843,TRAVIS KONECNY,F
844,TRAVIS SANHEIM,D
845,TRENT FREDERIC,F
846,TREVOR LEWIS,F
847,TREVOR MOORE,F
848,TREVOR VAN RIEMSDYK,D
849,TREVOR ZEGRAS,F
851,TROY STECHER,D
852,TROY TERRY,F
853,TY DELLANDREA,F
854,TY EMBERSON,D
858,TYE KARTYE,F
859,TYLER BERTUZZI,F
861,TYLER KLEVEN,D
862,TYLER MOTTE,F
863,TYLER MYERS,D
864,TYLER SEGUIN,F
865,TYLER TOFFOLI,F
866,TYLER TUCKER,D
867,TYSON BARRIE,D
868,TYSON FOERSTER,F
869,TYSON JOST,F
870,TYSON KOZAK,F
871,URHO VAAKANAINEN,D
872,UVIS BALINSKIS,D
873,VALERI NICHUSHKIN,F
875,VASILY PODKOLZIN,F
877,VICTOR HEDMAN,D
878,VICTOR MANCINI,D
879,VICTOR OLOFSSON,F
880,VIKTOR ARVIDSSON,F
881,VILLE HEINOLA,D
884,VINCE DUNN,D
885,VINCENT DESHARNAIS,D
886,VINCENT TROCHECK,F
887,VINNI LETTIERI,F
888,VINNIE HINOSTROZA,F
889,VLADIMIR TARASENKO,F
890,VLADISLAV GAVRIKOV,D
891,VLADISLAV KOLYACHONOK,D
892,VLADISLAV NAMESTNIKOV,F
893,WALKER DUEHR,F
894,WARREN FOEGELE,F
895,WILL BORGEN,D
896,WILL CUYLLE,F
897,WILL SMITH,F
898,WILLIAM CARRIER,F
899,WILLIAM EKLUND,F
900,WILLIAM KARLSSON,F
902,WILLIAM NYLANDER,F
904,WYATT JOHNSTON,F
905,WYATT KAISER,D
906,YAKOV TRENIN,F
907,YANNI GOURDE,F
908,YEGOR CHINAKHOV,F
909,YEGOR SHARANGOVICH,F
910,ZAC JONES,D
911,ZACH ASTON-REESE,F
912,ZACH BENSON,F
913,ZACH BOGOSIAN,D
914,ZACH HYMAN,F
915,ZACH WERENSKI,D
916,ZACH WHITECLOUD,D
917,ZACHARY BOLDUC,F
918,ZACHARY L'HEUREUX,F
920,ZACK OSTAPCHUK,F
922,ZEMGUS GIRGENSONS,F
