player,Pos,season,TOI,EV_TOI,EVO_GAR,EVD_GAR,EVO_WAR,EVD_WAR,PP_TOI,PP_GAR,PP_WAR,SH_TOI,SH_GAR,SH_WAR,EV_Shoot_GAR,PP_Shoot_GAR,SH_Shoot_GAR,Shoot_GAR,EV_Shoot_WAR,PP_Shoot_WAR,SH_Shoot_WAR,Draw_GAR,Take_GAR,Pens_GAR,Draw_WAR,Take_WAR,Pens_WAR,WAR,GAR,team,GP,last_update
ETHAN CARDWELL,F,20242025,68.68333333333334,62.13333333333333,0.048114598422723205,-0.0901410844783207,0.00910412994382568,-0.01705628173715415,0.0166666666666666,1.3470516481850094e-05,2.548859108908005e-06,6.533333333333333,0.01576822105624088,0.0029836253067673456,0.5909677365454045,0.0,0.0,0.5909677365454045,0.11182151036257966,0.0,0.0,0.20587420352520372,0.005286755115800502,0.21116095864100423,0.03895502742240256,0.0010003472362496504,0.03995537465865221,0.14681090739377967,0.7758839007035339,S.J,6,2025-04-18 11:12:19
SAM MORTON,F,20242025,12.016666666666666,10.833333333333332,0.014401923583648495,-0.004229928795833038,0.0027250977467300347,-0.0008003770720905972,0.0666666666666666,5.1116281750843634e-05,9.67210132808891e-06,1.1166666666666667,-0.0027043099677223023,-0.000511703103873342,0.7614087372843836,0.0,0.0,0.7614087372843836,0.14407195137946907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14549464105156326,0.7689275383862276,CGY,1,2025-04-18 11:12:19
JUSTIN ROBIDAS,F,20242025,22.166666666666664,21.73333333333333,0.033949875742320244,-0.026726528170952994,0.006423914788174702,-0.00505713013081617,0.0,0.0,0.0,0.4333333333333333,-0.0002653942088224156,-5.021726134405357e-05,0.7552837535034969,0.0,0.0,0.7552837535034969,0.14291299650770437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14422956390371885,0.7622417068660416,CAR,2,2025-04-18 11:12:19
HUDSON FASCHING,F,20242025,468.34999999999997,465.4,1.2755833035236712,0.8797633449523339,0.2413628405962004,0.16646672891024536,2.0666666666666664,-0.0006690170974392173,-0.00012658982490543232,0.8833333333333333,-0.0009730077718135136,-0.00018411021771635403,-1.590605772640509,-0.09535880995334038,0.0,-1.6859645825938494,-0.3009706433854267,-0.018043567348860604,0.0,-0.5069590710961059,0.7931964569175101,0.2862373858214041,-0.09592559037716862,0.15008674812816658,0.05416115775099796,0.14266581648053467,0.7539774268343071,NYI,43,2025-04-18 11:12:19
LUKE EVANGELISTA,F,20242025,924.8333333333333,838.6166666666666,1.0556316527930814,1.3297208032588264,0.19974411207607332,0.25160660960976255,86.21666666666667,-0.29375544124292446,-0.055583706327233806,0.0,-0.0,-0.0,-2.300305761016989,-0.40587536063289464,0.0,-2.7061811216498834,-0.4352583882096586,-0.07679877096207599,0.0,0.6050917286691375,0.7581897531926434,1.3632814818617809,0.11449401857911522,0.14346286286124357,0.2579568814403588,0.14166673762722626,0.7486973750208805,NSH,68,2025-04-18 11:12:19
OLIVER KYLINGTON,D,20242025,233.51666666666668,227.55,0.5779995004065697,-0.10826393301740968,0.10936769154624285,-0.02048544405921181,0.3833333333333333,0.0007590739569844154,0.000143630169800946,5.583333333333334,-0.0020888187121540433,-0.0003952413115343361,0.7125224993456406,0.0,0.0,0.7125224993456406,0.13482181364063045,0.0,0.0,-0.3038731335940722,-0.15153404272886029,-0.4554071763229325,-0.05749815202388536,-0.028672911364573218,-0.08617106338845858,0.13728138659746952,0.7255211456566985,COL/ANA,19,2025-04-18 11:12:19
DAVID GUSTAFSSON,F,20242025,321.5,313.8,0.5795591299517493,0.7382328988219508,0.10966280094149947,0.13968667431521212,0.3833333333333333,0.000593414224180904,0.00011228442893760058,7.316666666666666,-0.0018617082030484248,-0.0003522680008492891,-0.547906339598013,-0.12010697805370736,0.0,-0.6680133176517205,-0.10367353519031756,-0.022726356889736718,0.0,-0.6941257158377482,0.7545187216888706,0.060393005851122394,-0.13134081799492675,0.14276823900624241,0.011427421011315667,0.13413702061606125,0.7089034229942346,WPG,36,2025-04-18 11:12:19
COLLIN GRAF,F,20242025,515.4333333333334,410.6333333333333,-0.3775947923903706,-0.10197960511658392,-0.07144758906291308,-0.019296338471837593,40.43333333333334,0.10225309290627495,0.019348087181314942,64.36666666666667,0.06599852047264168,0.012488083163537327,-0.16810464917234968,0.4053692512351489,0.8681046619514925,1.1053692640142918,-0.03180836212702363,0.07670300614487048,0.1642607006258359,-1.034165775915719,0.9327297356813652,-0.10143604023435382,-0.19568238987831776,0.1764889034614271,-0.019193486416890667,0.13105410103689366,0.6926104396519,S.J,33,2025-04-18 11:12:19
MARC-EDOUARD VLASIC,D,20242025,392.08333333333337,371.35,-0.1963035373526962,-0.04483533038398732,-0.03714408871897706,-0.008483634640446274,0.7833333333333333,0.0025903514826095698,0.00049014015020276,19.95,-0.15009192573326752,-0.028400037414618863,0.5137215886581359,0.0,0.0,0.5137215886581359,0.09720517787556593,0.0,0.0,-0.3119555489389858,0.87884686285001,0.5668913139110242,-0.05902748744332664,0.16629331434534678,0.10726582690202013,0.1309333841537466,0.6919724605818186,S.J,27,2025-04-18 11:12:19
FEDOR SVECHKOV,F,20242025,664.2666666666668,578.1,-0.25878992007220647,-1.367109074989072,-0.048967613525314764,-0.25868112951361083,53.45,0.4573807408165418,0.08654449657072233,32.71666666666667,0.20207121803758837,0.03823543554823695,1.2061037363097897,0.180968976966573,-0.060042083083783226,1.3270306301925796,0.22821608204282937,0.03424251965338605,-0.011361020239432806,-0.45598633418785556,0.7790261971362659,0.3230398629484103,-0.08628065026298518,0.14740548525545627,0.061124834992471094,0.12935360552928737,0.6836234569338413,NSH,52,2025-04-18 11:12:19
